"Gulfport-Biloxi-Pascagoula, MS",363988,370702
"Hagerstown-Martinsburg, MD-WV",207828,251599
"Hammond, LA",100588,121097
"Hanford-Corcoran, CA",129461,152982
"Harrisburg-Carlisle, PA",509074,549475
"Harrisonburg, VA",108193,125228
"Hartford-West Hartford-East Hartford, CT",1148618,1212381
"Hattiesburg, MS",123812,142842
"Hickory-Lenoir-Morganton, NC",341851,365497
"Hilton Head Island-Bluffton-Beaufort, SC",141615,187010
"Hinesville, GA",71914,77917
"Homosassa Springs, FL",118085,141236
"Hot Springs, AR",88068,96024
"Houma-Thibodaux, LA",194477,208178
"Houston-The Woodlands-Sugar Land, TX",4693161,5920416
"Huntington-Ashland, WV-KY-OH",362346,364908
"Huntsville, AL",342376,417593
"Idaho Falls, ID",104576,133265
"Indianapolis-Carmel-Anderson, IN",1658462,1887877
"Iowa City, IA",131676,152586
"Ithaca, NY",96501,101564
"Jackson, MI",158422,160248
"Jackson, MS",525346,567122
"Jackson, TN",121909,130011
"Jacksonville, FL",1122750,1345596
"Jacksonville, NC",150355,177772
"Janesville-Beloit, WI",152307,160331
"Jefferson City, MO",140052,149807
"Johnson City, TN",181607,198716
"Johnstown, PA",152598,143679
"Jonesboro, AR",107762,121026
"Joplin, MO",157322,175518
"Kahului-Wailuku-Lahaina, HI",128241,154924
"Kalamazoo-Portage, MI",314866,326589
"Kankakee, IL",103833,113449
"Kansas City, MO-KS",1811254,2009342
"Kennewick-Richland, WA",191822,253340
"Killeen-Temple, TX",330714,405300
"Kingsport-Bristol-Bristol, TN-VA",298484,309544
"Kingston, NY",177749,182493
"Knoxville, TN",748259,837571
"Kokomo, IN",84964,82752
"La Crosse-Onalaska, WI-MN",126838,133665
"Lafayette, LA",425020,466750
"Lafayette-West Lafayette, IN",178541,201789
"Lake Charles, LA",193568,199607
"Lake Havasu City-Kingman, AZ",155032,200186
"Lakeland-Winter Haven, FL",483924,602095
"Lancaster, PA",470658,519445
"Lansing-East Lansing, MI",447728,464036
"Laredo, TX",193117,250304
"Las Cruces, NM",174682,209233
"Las Vegas-Henderson-Paradise, NV",1375765,1951269
"Lawrence, KS",99962,110826
"Lawton, OK",121610,130291
"Lebanon, PA",120327,133568
"Lewiston, ID-WA",57961,60888
"Lewiston-Auburn, ME",103793,107702
"Lexington-Fayette, KY",408326,472099
"Lima, OH",108473,106331
"Lincoln, NE",266787,302157
"Little Rock-North Little Rock-Conway, AR",610518,699757
"Logan, UT-ID",102720,125442
"Longview, TX",194042,214369
"Longview, WA",92948,102410
"Los Angeles-Long Beach-Anaheim, CA",12365627,12828837
"Louisville/Jefferson County, KY-IN",1121109,1235708
"Lubbock, TX",256250,290805
"Lynchburg, VA",228616,252634
"Macon, GA",222368,232293
"Madera, CA",123109,150865
"Madison, WI",535421,605435
"Manchester-Nashua, NH",380841,400721
"Manhattan, KS",81052,92719
"Mankato-North Mankato, MN",85712,96740
"Mansfield, OH",128852,124475
"McAllen-Edinburg-Mission, TX",569463,774769
"Medford, OR",181269,203206
"Memphis, TN-MS-AR",1213230,1324829
"Merced, CA",210554,255793
"Miami-Fort Lauderdale-West Palm Beach, FL",5007564,5564635
"Michigan City-La Porte, IN",110106,111467
"Midland, MI",82874,83629
"Midland, TX",120755,141671
"Milwaukee-Waukesha-West Allis, WI",1500741,1555908
"Minneapolis-St. Paul-Bloomington, MN-WI",3031918,3348859
"Missoula, MT",95802,109299
"Mobile, AL",399843,412992
"Modesto, CA",446997,514453
"Monroe, LA",170053,176441
"Monroe, MI",145945,152021
"Montgomery, AL",346528,374536
"Morgantown, WV",111200,129709
"Morristown, TN",102422,113951
"Mount Vernon-Anacortes, WA",102979,116901
"Muncie, IN",118769,117671
"Muskegon, MI",170200,172188
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",269772,376722
"Napa, CA",124279,136484
"Naples-Immokalee-Marco Island, FL",251377,321520
"Nashville-Davidson--Murfreesboro--Franklin, TN",1381287,1670890
"New Bern, NC",114751,126802
"New Haven-Milford, CT",824008,862477
"New Orleans-Metairie, LA",1337726,1189866
"New York-Newark-Jersey City, NY-NJ-PA",18944519,19567410
"Niles-Benton Harbor, MI",162453,156813
"North Port-Sarasota-Bradenton, FL",589959,702281
"Norwich-New London, CT",259088,274055
"Ocala, FL",258916,331298
"Ocean City, NJ",102326,97265
"Odessa, TX",121123,137130
"Ogden-Clearfield, UT",485401,597159
"Oklahoma City, OK",1095421,1252987
"Olympia-Tumwater, WA",207355,252264
"Omaha-Council Bluffs, NE-IA",767041,865350
"Orlando-Kissimmee-Sanford, FL",1644561,2134411
"Oshkosh-Neenah, WI",156763,166994
"Owensboro, KY",109875,114752
"Oxnard-Thousand Oaks-Ventura, CA",753197,823318
"Palm Bay-Melbourne-Titusville, FL",476230,543376
"Panama City, FL",161549,184715
"Parkersburg-Vienna, WV",93859,92673
"Pensacola-Ferry Pass-Brent, FL",412153,448991
"Peoria, IL",366899,379186
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5687147,5965343
"Phoenix-Mesa-Scottsdale, AZ",3251876,4192887
"Pine Bluff, AR",107341,100258
"Pittsburgh, PA",2431087,2356285
"Pittsfield, MA",134953,131219
"Pocatello, ID",75565,82839
"Portland-South Portland, ME",487568,514098
"Portland-Vancouver-Hillsboro, OR-WA",1927881,2226009
"Port St. Lucie, FL",319426,424107
"Prescott, AZ",167517,211033
"Providence-Warwick, RI-MA",1582997,1600852
"Provo-Orem, UT",376774,526810
"Pueblo, CO",141472,159063
"Punta Gorda, FL",141627,159978
"Racine, WI",188831,195408
"Raleigh, NC",797071,1130490
"Rapid City, SD",120093,134598
"Reading, PA",373638,411442
"Redding, CA",163256,177223
"Reno, NV",342885,425417
"Richmond, VA",1055683,1208101
"Riverside-San Bernardino-Ontario, CA",3254821,4224851
"Roanoke, VA",288309,308707
"Rochester, MN",184740,206877
"Rochester, NY",1062452,1079671
"Rockford, IL",320204,349431
"Rocky Mount, NC",143026,152392
"Rome, GA",90565,96317
"Sacramento--Roseville--Arden-Arcade, CA",1796857,2149127
"Saginaw, MI",210039,200169
"St. Cloud, MN",167392,189093
"St. George, UT",90354,138115
"St. Joseph, MO-KS",122336,127329
"St. Louis, MO-IL",2675343,2787701
"Salem, OR",347214,390738
"Salinas, CA",401762,415057
"Salisbury, MD-DE",312572,373802
"Salt Lake City, UT",939122,1087873
"San Angelo, TX",105781,111823
"San Antonio-New Braunfels, TX",1711703,2142508
"San Diego-Carlsbad, CA",2813833,3095313
"San Francisco-Oakland-Hayward, CA",4123740,4335391
"San Jose-Sunnyvale-Santa Clara, CA",1735819,1836911
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",246681,269637
"Santa Cruz-Watsonville, CA",255602,262382
"Santa Fe, NM",129292,144170
"Santa Maria-Santa Barbara, CA",399347,423895
"Santa Rosa, CA",458614,483878
"Savannah, GA",293000,347611
"Scranton--Wilkes-Barre--Hazleton, PA",560625,563631
"Seattle-Tacoma-Bellevue, WA",3043878,3439809
"Sebastian-Vero Beach, FL",112947,138028
"Sebring, FL",87366,98786
"Sheboygan, WI",112646,115507
"Sherman-Denison, TX",110595,120877
"Shreveport-Bossier City, LA",417796,439811
"Sierra Vista-Douglas, AZ",117755,131346
"Sioux City, IA-NE-SD",167902,168563
"Sioux Falls, SD",187093,228261
"South Bend-Mishawaka, IN-MI",316663,319224
"Spartanburg, SC",283672,313268
"Spokane-Spokane Valley, WA",469737,527753
"Springfield, IL",201437,210170
"Springfield, MA",608479,621570
"Springfield, MO",368374,436712
"Springfield, OH",144742,138333
"State College, PA",135758,153990
"Staunton-Waynesboro, VA",108988,118502
"Stockton-Lodi, CA",563598,685306
"Sumter, SC",104646,107456
"Syracuse, NY",650154,662577
"Tallahassee, FL",320304,367413
"Tampa-St. Petersburg-Clearwater, FL",2395997,2783243
"Terre Haute, IN",170943,172425
"Texarkana, TX-AR",143377,149198
"The Villages, FL",53345,93420
"Toledo, OH",618203,610001
"Topeka, KS",224551,233870
"Trenton, NJ",350761,366513
"Tucson, AZ",843746,980263
"Tulsa, OK",859532,937478
"Tuscaloosa, AL",203009,230162
"Tyler, TX",174706,209714
"Urban Honolulu, HI",876156,953207
"Utica-Rome, NY",299896,299397
"Valdosta, GA",119560,139588
"Vallejo-Fairfield, CA",394542,413344
"Victoria, TX",91016,94003
"Vineland-Bridgeton, NJ",146438,156898
"Virginia Beach-Norfolk-Newport News, VA-NC",1580057,1676822
"Visalia-Porterville, CA",368021,442179
"Waco, TX",232093,252772
"Walla Walla, WA",59244,62859
"Warner Robins, GA",144021,179605
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4837428,5636232
"Waterloo-Cedar Falls, IA",163706,167819
"Watertown-Fort Drum, NY",111738,116229
"Wausau, WI",125834,134063
"Weirton-Steubenville, WV-OH",132008,124454
"Wenatchee, WA",99219,110884
"Wheeling, WV-OH",153172,147950
"Wichita, KS",579839,630919
"Wichita Falls, TX",151524,151306
"Williamsport, PA",120044,116111
"Wilmington, NC",201389,254884
"Winchester, VA-WV",102997,128472
"Winston-Salem, NC",569207,640595
"Worcester, MA-CT",860054,916980
"Yakima, WA",222581,243231
"York-Hanover, PA",381751,434972
"Youngstown-Warren-Boardman, OH-PA",602964,565773
"Yuba City, CA",139149,166892
"Yuma, AZ",160026,195751
"Aguadilla-Isabela, PR",347938,339441
"Arecibo, PR",199750,199471
"Guayama, PR",83570,84214
"Mayagüez, PR",115048,106330
"Ponce, PR",382982,350480
"San Germán, PR",136212,137462
"San Juan-Carolina-Caguas, PR",2387790,2350126
